width,name,STT
" 7,5m",Tố Hữu (nối dài),1534
 6m,Tô Ngọc Vân,1535
 6m,Tôn Đản,1536
 24m,Tôn Đức Thắng,1537
" 7,5m",Tôn Quang Phiệt,1538
" 7,5m",Tôn Quang Phiệt (nối dài),1539
 5 m,Tôn Thất Tùng,1540
" 3,5m",Tôn Thất Thiệp,1541
" 7,5 m",Tôn Thất Thuyết,1542
" 7,5m",Tống Duy Tân,1543
 5m,Tống Phước Phổ,1544
" 5,5 m",Tốt Động,1545
" 7,5 m",Tú Mỡ,1546
 ,Tú Quỳ,1547
 5m,Tuệ Tĩnh,1548
" 5,5m",Tùng Lâm 1,1549
" 5,5m",Tùng Lâm 10,1550
" 5,5m",Tùng Lâm 2,1551
" 5,5m",Tùng Lâm 3,1552
" 5,5m",Tùng Lâm 4,1553
" 5,5m",Tùng Lâm 5,1554
" 5,5m",Tùng Lâm 6,1555
" 5,5m",Tùng Lâm 7,1556
" 5,5m",Tùng Lâm 8,1557
" 5,5m",Tùng Lâm 9,1558
" 7,5m",Tùng Thiện Vương,1559
" 7,5m",Tuy Lý Vương,1560
 15m,Tự Đức ,1561
" 5,5m",Thạch Lam,1562
" 10,5m",Thái Phiên,1563
 7m,Thái Thị Bôi,1564
" 5,5m",Thái Văn A,1565
" 3,2m",Thanh Duyên,1566
" 4,5m",Thanh Hải,1567
" 10,5m.",Thanh Hóa,1568
" 5,5m",Thanh Huy 1,1569
" 5,5m",Thanh Huy 2,1570
" 5,5m",Thanh Huy 3,1571
 10.5m m,Thanh Khê 6,1572
 4m,Thanh Long,1573
 5m,Thanh Sơn,1574
" 10,5m",Thanh Tịnh,1575
" 10,5m",Thành Thái,1576
 6m,Thanh Thủy,1577
" 3,5m",Thanh Vinh 1,1578
" 5,5m",Thành Vinh 1,1579
" 3,5m",Thanh Vinh 10,1580
" 3,5m",Thanh Vinh 11,1581
" 3,5m",Thanh Vinh 12,1582
" 3,5m",Thanh Vinh 14,1583
" 3,5m",Thanh Vinh 15,1584
" 3,5m",Thanh Vinh 16,1585
" 5,5m",Thanh Vinh 17,1586
" 3,5m",Thanh Vinh 2,1587
" 3,5m",Thanh Vinh 3,1588
" 3,5m",Thanh Vinh 4,1589
" 3,5m",Thanh Vinh 5,1590
" 3,5m",Thanh Vinh 6,1591
" 3,5m",Thanh Vinh 7,1592
" 3,5m",Thanh Vinh 8,1593
" 3,5m",Thanh Vinh 9,1594
" 10,5m & 5,5m",Thăng Long,1595
 7.5 m,Thân Cảnh Phúc,1596
" 7,5m",Thân Cảnh Phúc,1597
" 5,5m",Thân Nhân Trung,1598
" có đoạn 5,5m và có đoạn rộng 7,5m",Thép Mới,1599
" 5,5m",Thế Lữ,1600
 6m,Thi Sách,1601
" 10,5m",Thích Phước Huệ,1602
" 10,5m",Thích Quảng Đức,1603
 m,Thích Thiện Chiếu,1604
 m,Thôi Hữu,1605
" 5,5m",Thu Bồn,1606
" 5,5m",Thủ Khoa Huân,1607
 m,Thuận An 1,1608
,Thuận An 1,1609
 m,Thuận An 2,1610
,Thuận An 2,1611
 m,Thuận An 3,1612
,Thuận An 3,1613
 m,Thuận An 4,1614
,Thuận An 4,1615
 4m,Thuận An 5,1616
,Thuận An 5,1617
"  7,5m",Thuận An 6,1618
,Thuận An 6,1619
 m,Thúc Tề,1620
,Thúc Tề,1621
" 7,5m",Thuỷ Sơn 1,1622
" 7,5m",Thuỷ Sơn 2,1623
" 7,5m",Thuỷ Sơn 3,1624
" 7,5m",Thuỷ Sơn 4,1625
" 7,5m",Thuỷ Sơn 5,1626
" 7,5m",Thượng Đức,1627
" Một đoạn 7,5 một đoạn 5,5 ",Trà Lộ,1628
" 5,5m",Trà Na 1,1629
" 5,5m",Trà Na 2,1630
" 5,5m",Trà Na 3 ,1631
" 10,5",Trần Anh Tông,1632
" 5,5m",Trần Bích San,1633
" 7,2 m",Trần Bình Trọng,1634
" 7,5m",Trần Can,1635
" 10,5 m",Trần Cao Vân,1636
" 7,5m",Trần Cừ,1637
" 6,5 m",Trần Đại Nghĩa,1638
 15 m,Trần Đăng Ninh,1639
" 7,5 m",Trần Đình Đàn,1640
" 5,5 m",Trần Đình Long,1641
,Trần Đình Phong,1642
" 10,5m",Trần Đình Tri,1643
" 7,5 m",Trần Đức Thảo ,1644
" 4,5 m",Trần Hoành,1645
" 10,5 m",Trần Huân ,1646
" 7,5m",Trần Huy Liệu,1647
,Trần Huy Liệu (nối dài),1648
 15 m,Trần Hưng Đạo,1649
" 5,5m.",Trần Hữu Duẩn,1650
 15m,Trần Hữu Dực,1651
" 10,5m",Trần Hữu Độ,1652
 7m,Trần Kế Xương,1653
 5m,Trần Kim Bảng,1654
 5m,Trần Khánh Dư,1655
" 5,5m",Trần Khát Chân,1656
" 7,5m",Trần Lê,1657
" 5,5m",Trần Lựu,1658
" 5,5m",Trần Mai Ninh,1659
 15m,Trần Nam Trung,1660
" 7,5m",Trần Ngọc Sương,1661
" 10,5 m",Trần Nguyên Đán,1662
" 10,5 m",Trần Nguyên Hãn,1663
" 10,5 m",Trần Nhân Tông,1664
" 15m – 10,5m",Trần Nhân Tông,1665
 6 m,Trần Nhật Duật,1666
 10.5 m,Trần Phú,1667
 10.5 m,Trần Phước Thành,1668
 10.5 m,Trần Phước Thành (nối dài),1669
 m,Trần Quang Diệu,1670
 10.5 m,Trần Quang Diệu,1671
 6m,Trần Quang Khải,1672
 ,Trần Quang Khải (nối dài),1673
 15m,Trần Quốc Hoàn,1674
 7m,Trần Quốc Toản,1675
" 7,5m",Trần Quốc Thảo,1676
 7m,Trần Quý Cáp,1677
" 5,5m",Trần Quý Hai,1678
" 7,5m",Trần Sâm,1679
" 7,5m",Trần Tấn,1680
 m,Trần Tấn Mới,1681
 7.5m,Trần Tấn Mới,1682
" 5,5m",Trần Tấn Mới,1683
 6 m,Trần Tống,1684
 11 m,Trần Thái Tông,1685
" 5,5 m",Trần Thanh Mại,1686
 m,Trần Thánh Tông,1687
" 10,5 m",Trần Thanh Trung,1688
 6 m,Trần Thị Lý,1689
 10.5 m,Trần Thủ Độ,1690
 m,Trần Thuyết,1691
 9m,Trần Văn Dư ,1692
 ,Trần Văn Dư (nối dài),1693
" 7,5m",Trần Văn Đán,1694
 5.5m,Trần Văn Đang,1695
" 5,5m",Trần Văn Đang,1696
" 7,5m",Trần Văn Hai,1697
 10.5m,Trần Văn Kỳ,1698
 10.5m,Trần Văn Kỳ,1699
" 5,5m",Trần Văn Lan,1700
 ,Trần Văn Lan,1701
 m,Trần Văn Thành,1702
 21m,Trần Văn Trà,1703
" 7,5m",Trần Xuân Lê,1704
 5.5 m,Trần Xuân Lê,1705
 5.5 m,Trần Xuân Soạn,1706
 m,Triệu Việt Vương,1707
 10.5m,Trịnh Công Sơn,1708
 15 m,Trịnh Đình Thảo,1709
" 4,5 m",Trịnh Hoài Đức,1710
"  5,5 m",Trịnh Khả,1711
   m,Trịnh Khắc Lập,1712
" 4,5 m",Trịnh Khắc Lập,1713
" 7,5m",Trịnh Lỗi,1714
" 5,5m",Trung Hòa 1,1715
" 5,5m",Trung Hòa 2,1716
" 5,5m",Trung Hòa 3,1717
" 5,5m",Trung Hòa 4,1718
" 5,5m",Trung Hòa 5,1719
" 5,5m.",Trung Lương 1,1720
" 5,5m.",Trung Lương 2,1721
" 5,5m.",Trung Lương 3,1722
" 5,5m.",Trung Lương 4,1723
" 5,5m.",Trung Lương 5,1724
" 7,5m.",Trung Lương 6,1725
" 7,5m.",Trung Lương 7,1726
" 5,5 m",Trung Nghĩa 1,1727
  5.5 m,Trung Nghĩa 2,1728
" 5,5 m",Trung Nghĩa 2,1729
  5.5 m,Trung Nghĩa 3,1730
" 5,5 m",Trung Nghĩa 3,1731
  5.5 m,Trung Nghĩa 4,1732
" 5,5 m",Trung Nghĩa 4,1733
  5.5 m,Trung Nghĩa 5,1734
" 5,5 m",Trung Nghĩa 5,1735
  5.5m,Trung Nghĩa 6,1736
" 5,5 m",Trung Nghĩa 6,1737
  5.5m,Trung Nghĩa 7,1738
" 5,5 m",Trung Nghĩa 7,1739
" 5,5 m",Trừ Văn Thố,1740
 9 m,Trưng Nữ Vương,1741
  5.5m,Trưng Nhị,1742
" 5,5 m",Trưng Nhị,1743
" 7,5m",Trương Công Hy,1744
 8 m,Trương Chí Cương,1745
   m,Trường Chinh,1746
 24 m,Trường Chinh,1747
" 5,5m",Trương Đăng Quế,1748
 8 m,Trương Định,1749
" 10,5m",Trương Gia Mô,1750
"   3,75m ",Trương Hán Siêu,1751
" 3,74 m",Trương Hán Siêu,1752
" 7,5m",Trương Minh Giảng,1753
" 5,5 m",Trương Quang Giao ,1754
" 7,5m",Trương Quyền,1755
 15 m,Trường Sa,1756
 21m,Trường Sơn,1757
" 7,5 m",Trương Văn Đa,1758
" 7,5m",Trương Văn Đa,1759
" 7,5 m",Trương Văn Hiến,1760
" 5,5m",Trương Vân Lĩnh,1761
 5 m,Vạn Hạnh,1762
" 5,5 m",Vạn Tường,1763
 6 m,Văn Cao,1764
" 7,5m",Văn Tân,1765
" 10,5m.",Văn Tiến Dũng,1766
" 10,5m",Văn Tiến Dũng,1767
" 5,5m",Văn Thánh 1,1768
" 5,5m",Văn Thánh 2,1769
" 5,5m",Văn Thánh 3,1770
" 5,5m",Văn Thánh 4,1771
 15 m,Vân Đồn,1772
" 7,5m",Việt Bắc,1773
" 5,5m",Võ Duy Dương,1774
" 7,5m",Võ Duy Dương,1775
" 7,5 m",Võ Duy Đoán,1776
" 7,5m",Võ Duy Ninh,1777
" 5,5 m",Võ Nghĩa,1778
" 5,5 m",Võ Như Khương,1779
" 5,5m.",Võ Quảng,1780
" 5,5 m",Võ Thị Sáu,1781
" 3,75 m",Võ Trường Toản,1782
" 10,5m",Võ Văn Đặng,1783
" 7,5m",Võ Văn Đồng,1784
" 10,5 m",Võ Văn Tần,1785
" 5,5m",Vũ Cán,1786
" 7,5 m",Vũ Đình Long,1787
" 5,5m",Vũ Huy Tấn,1788
 8 m,Vũ Huy Tấn ,1789
" 5,5 m",Vũ Hữu,1790
" 7,5m",Vũ Lập,1791
" 5,5 m",Vũ Miên,1792
" 5,5   m ",Vũ Ngọc Nhạ,1793
" 5,5 m",Vũ Quỳnh,1794
" 5,5 m",Vũ Tông Phan,1795
" 5,5m",Vũ Thạnh,1796
 m ,Vũ Trọng Phụng,1797
" 10,5m",Vũ Văn Cẩn,1798
 m ,Vũ Văn Dũng,1799
" 5,5 m",Vũ Văn Dũng,1800
" 7,5m ",Vũng Thùng 1,1801
" 5,5m ",Vũng Thùng 2,1802
" 5,5m  ",Vũng Thùng 3,1803
" 5,5m  ",Vũng Thùng 4,1804
" 5,5 m  ",Vũng Thùng 5,1805
" 7,5m",Vùng Trung 1,1806
" 7,5m",Vùng Trung 2,1807
" 7,5m",Vùng Trung 3,1808
" 7,5m",Vùng Trung 4,1809
" 7,5m",Vùng Trung 5,1810
 21 m,Xô Viết Nghệ Tĩnh,1811
" 7,5 m",Xuân Diệu,1812
" 5,5 m",Xuân Đán 1,1813
 4m  ,Xuân Hòa 1,1814
 4m  ,Xuân Hòa 2,1815
" 5,5 m",Xuân Thiều 1,1816
" 5,5 m",Xuân Thiều 10,1817
" 5,5 m",Xuân Thiều 11,1818
" 5,5 m",Xuân Thiều 12,1819
" 5,5 m",Xuân Thiều 14,1820
" 5,5 m",Xuân Thiều 2,1821
" 5,5 m",Xuân Thiều 3,1822
" 5,5 m",Xuân Thiều 4,1823
" 5,5 m",Xuân Thiều 5,1824
" 5,5 m",Xuân Thiều 6,1825
" 5,5 m",Xuân Thiều 7,1826
" 5,5 m",Xuân Thiều 8,1827
" 5,5 m",Xuân Thiều 9,1828
" 7,5 m",Xuân Thủy,1829
 ,Xuân Thủy (nối dài),1830
 ,Ỷ Lan Nguyên Phi,1831
 5 m,Yersin,1832
 7m,Yên Báy (Yên Bái),1833
" 5,5m  ",Yên Khê 1,1834
  7.5m - 5.5m m  ,Yên Khê 2,1835
" 7,5 m",Yên Thế,1836
 24 m,Yết Kiêu,1837
