,BedRoooms,Width,Square,Length,Floors,Kitchen,DiningRoom,Type,Juridical,CarParking,Direction,Rooftop,PricePerMet,DistrictPoint,WardPoint,RoadPoint,WidthRoad
167,6.0,8.0,115.0,16.0,2.0,1,1,14,1.0,1,,1,40.87,5,35.0,1648.0,5.5
168,,6.6,170.0,25.0,2.0,1,1,1,,1,,1,488.24,1,19.0,150.0,12.0
169,4.0,10.0,214.0,,3.0,0,0,14,1.0,0,6.0,0,70.09,1,28.0,1713.0,7.5
170,,5.0,135.0,28.0,,0,0,2,1.0,0,,0,19.63,6,39.0,1018.0,7.0
171,,4.5,120.0,30.0,,0,0,2,1.0,0,,0,17.08,6,39.0,1512.0,6.5
172,,5.0,87.0,16.8,,0,0,2,1.0,0,,0,33.33,5,29.0,1087.0,5.0
173,,5.0,100.0,20.0,,0,0,2,1.0,0,2.0,0,58.0,5,31.0,683.0,11.5
174,1.0,6.0,60.0,10.0,1.0,0,0,15,1.0,0,6.0,0,16.67,2,3.0,134.0,8.5
175,,6.0,120.0,20.0,,0,0,2,1.0,0,6.0,0,8.0,7,54.0,1703.0,4.0
176,,6.0,180.0,30.0,,0,0,2,1.0,0,6.0,0,5.0,7,54.0,1703.0,4.0
177,,5.0,100.0,20.0,,0,0,2,1.0,0,6.0,0,20.0,6,38.0,1691.0,12.0
178,,7.0,200.0,29.0,,0,0,2,1.0,0,4.0,0,8.5,7,54.0,1703.0,4.0
179,,10.0,249.0,25.0,,0,0,2,1.0,0,3.0,0,82.33,5,32.0,974.0,48.0
180,,10.0,240.0,24.0,,0,0,2,1.0,0,1.0,0,70.0,5,32.0,974.0,48.0
181,,12.0,250.0,20.75,,0,0,3,1.0,0,6.0,0,38.8,4,45.0,1724.0,7.5
182,,5.0,100.0,20.0,,0,0,2,1.0,0,3.0,0,55.0,5,30.0,1557.0,15.0
183,,10.0,230.0,,,0,0,14,1.0,1,,0,69.56,6,36.0,105.0,5.5
184,3.0,5.0,90.0,18.0,3.0,1,1,14,1.0,1,3.0,0,38.89,2,5.0,1725.0,7.5
185,2.0,6.2,200.0,40.0,,0,0,9,1.0,0,,0,14.0,6,38.0,209.0,5.0
186,2.0,7.0,70.0,,26.0,1,1,15,1.0,1,,1,21.43,6,39.0,1691.0,
187,5.0,6.0,100.0,,,1,1,12,1.0,0,,0,29.5,1,27.0,1412.0,3.0
188,18.0,,100.0,,7.0,1,1,1,1.0,1,,1,180.0,6,36.0,1226.0,7.5
189,15.0,17.0,200.0,,8.0,1,1,1,1.0,1,,1,210.0,5,33.0,477.0,7.5
190,,8.5,177.0,20.0,,0,0,3,1.0,0,,0,36.72,6,39.0,1342.0,15.0
191,5.0,5.0,70.0,15.0,5.0,0,0,14,1.0,0,3.0,0,107.14,1,16.0,1455.0,4.0
192,,16.0,392.0,24.5,,0,0,2,1.0,0,,0,12.5,6,39.0,1512.0,6.5
193,,,100.0,,,0,0,2,,0,,0,240.0,4,45.0,1726.0,
194,4.0,10.0,250.0,25.0,3.0,1,1,8,1.0,0,,1,136.0,5,34.0,1727.0,7.5
195,4.0,5.0,100.0,20.0,3.0,0,0,8,1.0,0,,0,125.0,5,34.0,1723.0,7.5
196,2.0,7.0,69.0,9.8,25.0,1,1,15,3.0,1,,0,24.64,6,39.0,1691.0,33.0
197,10.0,5.0,90.0,20.0,4.0,1,1,14,1.0,1,4.0,1,116.67,1,22.0,1553.0,5.5
198,3.0,,130.0,,2.0,1,1,9,,1,,0,33.46,5,35.0,974.0,48.0
199,4.0,11.5,411.0,35.6,2.0,1,1,14,,0,,1,82.73,6,36.0,149.0,4.0
200,3.0,4.0,49.0,13.0,3.0,1,1,9,1.0,0,,1,77.35,1,26.0,605.0,10.5
201,,5.0,63.0,11.0,,0,0,2,,0,,0,42.06,6,37.0,759.0,30.0
202,3.0,5.0,124.0,24.0,2.0,0,0,14,,0,,0,96.77,5,33.0,1152.0,15.0
203,3.0,5.0,60.0,12.0,3.0,0,0,14,,0,,0,75.0,6,36.0,307.0,5.0
204,3.0,,120.0,,3.0,0,0,8,1.0,0,,0,112.58,1,27.0,1072.0,7.5
205,,12.0,250.0,20.0,,0,0,2,1.0,0,3.0,0,39.2,4,45.0,,7.5
206,3.0,5.0,72.0,14.5,3.0,0,0,14,,0,,0,83.33,1,28.0,1728.0,5.0
207,2.0,7.0,70.0,10.0,25.0,1,1,15,1.0,1,3.0,1,21.43,6,39.0,1691.0,33.0
208,15.0,5.0,92.0,18.5,7.0,0,0,14,,0,,0,173.91,5,31.0,638.0,15.0
209,2.0,4.46,59.0,13.33,3.0,1,1,14,1.0,1,6.0,1,257.63,1,18.0,1125.0,8.0
210,10.0,5.0,108.0,,4.0,1,1,14,1.0,1,,1,54.63,4,44.0,1082.0,5.5
211,1.0,5.0,106.0,23.0,4.0,0,0,14,1.0,1,4.0,1,235.85,1,21.0,1146.0,16.0
212,43.0,9.0,162.0,,10.0,0,0,14,1.0,0,,0,0.93,6,36.0,,7.5
213,,14.0,270.0,20.0,,0,0,3,1.0,0,3.0,0,74.07,4,45.0,,10.0
214,3.0,5.0,55.0,11.0,2.0,0,0,14,,0,,0,74.36,3,13.0,1146.0,16.0
215,3.0,5.0,88.0,17.5,2.0,0,0,14,,0,,0,96.59,5,32.0,1365.0,5.5
216,2.0,6.5,65.0,10.0,1.0,0,0,14,,0,,0,47.69,4,44.0,213.0,5.5
217,3.0,5.0,80.0,16.0,2.0,0,0,14,,0,,0,58.75,4,40.0,200.0,3.75
218,3.0,4.0,60.0,15.0,3.0,0,0,14,,0,,0,100.0,3,15.0,1729.0,7.0
219,4.0,4.5,81.0,18.0,3.0,1,1,14,,1,,1,66.67,3,14.0,421.0,5.5
220,3.0,5.0,90.0,18.0,2.0,0,0,14,,0,,0,53.33,1,22.0,1482.0,6.0
221,,8.0,159.0,20.0,,0,0,2,1.0,0,2.0,0,27.04,6,38.0,1447.0,5.5
222,,10.0,200.0,20.0,,0,0,3,1.0,0,6.0,0,165.0,5,34.0,1523.0,15.0
223,4.0,6.5,95.0,,3.0,1,1,9,1.0,1,,0,53.68,1,26.0,1600.0,9.0
224,,5.0,100.0,20.0,,0,0,2,1.0,0,,0,61.0,1,28.0,1072.0,7.5
225,3.0,,75.0,,4.0,1,1,9,,0,,1,68.0,1,19.0,962.0,7.0
226,2.0,5.0,50.0,,4.0,1,0,9,1.0,0,,1,84.0,1,26.0,605.0,10.5
227,3.0,6.0,88.0,,3.0,1,1,9,,0,,1,44.89,1,26.0,705.0,16.0
228,,5.0,104.0,20.0,,0,0,2,1.0,0,2.0,0,149.04,5,34.0,1523.0,15.0
229,,5.0,101.0,15.0,,0,0,2,1.0,0,1.0,0,22.97,6,39.0,1018.0,7.0
230,,5.0,100.0,20.0,,0,0,2,1.0,0,2.0,0,58.0,5,29.0,683.0,11.5
231,,6.0,111.0,18.0,,0,0,2,1.0,0,1.0,0,88.29,5,31.0,1538.0,15.0
232,,,100.0,,,0,0,2,,0,,0,34.0,4,45.0,1715.0,7.5
233,,,100.0,,,0,0,3,,0,,0,24.5,6,38.0,868.0,15.0
234,2.0,6.7,169.0,24.0,2.0,1,1,14,,1,,1,467.46,1,19.0,150.0,12.0
235,4.0,5.45,126.0,24.0,3.0,1,1,14,,1,,1,158.73,1,19.0,1216.0,8.5
236,3.0,5.38,92.0,17.29,2.0,1,1,14,,1,,1,86.96,1,16.0,1449.0,4.5
237,4.0,5.0,130.0,26.0,3.0,1,1,14,,1,,1,102.31,1,27.0,1217.0,15.0
238,,5.0,73.0,14.5,,0,0,2,1.0,0,1.0,0,54.79,6,36.0,304.0,7.5
239,,5.0,140.0,28.0,,0,0,2,1.0,0,,0,100.0,5,34.0,1523.0,15.0
240,,,99.0,,,0,0,2,,0,,0,15.15,6,38.0,209.0,5.0
241,2.0,,70.0,,1.0,0,0,15,1.0,0,3.0,0,24.29,6,39.0,1691.0,
242,10.0,7.0,140.0,20.0,4.0,1,1,14,1.0,1,,1,45.0,6,39.0,221.0,15.0
243,3.0,3.7,52.0,14.0,3.0,1,1,9,1.0,0,7.0,1,74.04,3,6.0,1510.0,10.5
244,3.0,7.0,74.0,11.0,2.0,1,1,9,1.0,0,4.0,0,43.24,3,10.0,716.0,10.5
245,4.0,,46.0,,3.0,0,0,9,1.0,0,2.0,0,69.57,3,10.0,524.0,9.0
246,,5.0,131.0,,,0,0,2,1.0,0,8.0,0,91.6,1,19.0,1730.0,10.0
247,3.0,7.0,150.0,20.0,2.0,0,0,14,,0,7.0,0,46.0,6,39.0,1660.0,7.5
248,3.0,7.0,134.0,20.0,2.0,0,0,14,,0,,0,38.06,6,39.0,1016.0,5.5
249,3.0,4.5,52.0,11.0,3.0,0,0,9,,0,,0,75.0,3,11.0,1108.0,48.0
250,14.0,5.2,104.0,20.0,5.0,0,0,9,,0,1.0,0,90.38,1,16.0,462.0,21.0
251,,,90.0,,,0,0,2,,0,5.0,0,42.22,6,37.0,723.0,7.5
252,,5.0,100.0,20.0,,0,0,2,1.0,0,,0,25.0,6,39.0,1731.0,7.0
253,,5.0,100.0,20.0,,0,0,2,1.0,0,,0,24.5,6,39.0,1078.0,7.5
254,,5.0,100.0,20.0,,0,0,2,1.0,0,,0,24.5,6,39.0,1512.0,6.5
255,2.0,,70.0,,,0,0,15,1.0,0,,0,21.43,6,39.0,1691.0,
256,,5.0,160.0,,,0,0,2,1.0,0,5.0,0,88.75,1,27.0,,33.0
257,10.0,20.0,400.0,20.0,4.0,1,1,14,1.0,1,,1,232.5,1,19.0,1183.0,9.0
258,3.0,7.0,150.0,,3.0,1,1,14,1.0,1,,1,166.67,6,36.0,1152.0,15.0
259,4.0,,200.0,,3.0,0,0,14,,0,,0,52.5,4,40.0,1243.0,10.0
260,3.0,,79.0,,1.0,0,0,14,,0,,0,86.08,3,12.0,1732.0,7.5
261,27.0,15.0,375.0,25.0,6.0,1,1,14,1.0,1,,1,101.07,5,30.0,829.0,10.0
